sport,date,home,away,home_score,away_score,odds_home,odds_draw,odds_away
football,2024-08-10,Real Norte,Atletico Sur,4,1,2.01,3.65,5.35
football,2024-08-12,Real Norte,Union Central,3,0,1.88,3.72,6.69
football,2024-08-14,Real Norte,Deportivo Costa,0,2,1.82,3.97,7.61
football,2024-08-16,Real Norte,CF Montaña,0,0,1.70,3.77,9.71
football,2024-08-18,Real Norte,Racing Valle,2,2,2.02,3.96,6.18
football,2024-08-20,Real Norte,Sporting Este,2,0,1.71,3.70,11.81
football,2024-08-22,Real Norte,Estrella Oeste,1,0,1.83,3.95,8.11
football,2024-08-24,Atletico Sur,Real Norte,3,3,2.74,3.98,3.39
football,2024-08-26,Atletico Sur,Union Central,3,2,2.07,3.91,4.82
football,2024-08-28,Atletico Sur,Deportivo Costa,1,3,2.04,3.85,5.11
football,2024-08-30,Atletico Sur,CF Montaña,2,2,1.86,3.64,6.02
football,2024-09-01,Atletico Sur,Racing Valle,1,0,2.14,3.86,4.42
football,2024-09-03,Atletico Sur,Sporting Este,1,2,1.77,3.91,6.95
football,2024-09-05,Atletico Sur,Estrella Oeste,1,1,1.97,3.85,5.71
football,2024-09-07,Union Central,Real Norte,2,2,2.88,3.84,3.06
football,2024-09-09,Union Central,Atletico Sur,4,2,2.70,3.71,3.37
football,2024-09-11,Union Central,Deportivo Costa,1,1,2.33,3.61,4.17
football,2024-09-13,Union Central,CF Montaña,1,0,2.13,3.87,4.77
football,2024-09-15,Union Central,Racing Valle,1,2,2.32,3.85,3.78
football,2024-09-17,Union Central,Sporting Este,2,0,2.06,3.86,5.50
football,2024-09-19,Union Central,Estrella Oeste,1,0,2.16,3.86,4.62
football,2024-09-21,Deportivo Costa,Real Norte,1,1,3.12,3.83,2.73
football,2024-09-23,Deportivo Costa,Atletico Sur,3,4,2.78,3.74,3.17
football,2024-09-25,Deportivo Costa,Union Central,0,1,2.31,3.79,3.63
football,2024-09-27,Deportivo Costa,CF Montaña,2,0,2.28,3.78,4.34
football,2024-09-29,Deportivo Costa,Racing Valle,6,1,2.41,3.72,3.63
football,2024-10-01,Deportivo Costa,Sporting Este,2,1,2.12,3.98,5.21
football,2024-10-03,Deportivo Costa,Estrella Oeste,4,1,2.33,3.93,4.37
football,2024-10-05,CF Montaña,Real Norte,1,4,3.38,3.78,2.59
football,2024-10-07,CF Montaña,Atletico Sur,1,1,2.96,3.92,2.98
football,2024-10-09,CF Montaña,Union Central,0,2,2.62,3.93,3.56
football,2024-10-11,CF Montaña,Deportivo Costa,0,1,2.43,3.81,3.54
football,2024-10-13,CF Montaña,Racing Valle,0,1,2.74,3.89,3.17
football,2024-10-15,CF Montaña,Sporting Este,1,4,2.16,3.78,4.50
football,2024-10-17,CF Montaña,Estrella Oeste,0,0,2.55,3.88,3.65
football,2024-10-19,Racing Valle,Real Norte,3,1,2.92,3.66,3.03
football,2024-10-21,Racing Valle,Atletico Sur,1,2,2.39,3.63,3.56
football,2024-10-23,Racing Valle,Union Central,2,2,2.22,3.77,4.21
football,2024-10-25,Racing Valle,Deportivo Costa,4,2,2.11,3.86,4.31
football,2024-10-27,Racing Valle,CF Montaña,1,2,2.00,3.71,5.26
football,2024-10-29,Racing Valle,Sporting Este,2,0,1.94,3.69,5.73
football,2024-10-31,Racing Valle,Estrella Oeste,1,3,2.23,3.79,4.58
football,2024-11-02,Sporting Este,Real Norte,1,3,4.01,3.92,2.49
football,2024-11-04,Sporting Este,Atletico Sur,0,3,3.32,3.97,2.80
football,2024-11-06,Sporting Este,Union Central,1,4,2.94,3.74,3.16
football,2024-11-08,Sporting Este,Deportivo Costa,1,0,2.66,3.78,3.21
football,2024-11-10,Sporting Este,CF Montaña,1,3,2.66,3.97,3.56
football,2024-11-12,Sporting Este,Racing Valle,0,0,2.80,3.76,2.86
football,2024-11-14,Sporting Este,Estrella Oeste,1,0,2.57,3.68,3.39
football,2024-11-16,Estrella Oeste,Real Norte,0,2,3.41,3.69,2.70
football,2024-11-18,Estrella Oeste,Atletico Sur,4,0,2.77,3.72,3.21
football,2024-11-20,Estrella Oeste,Union Central,1,0,2.47,3.75,3.54
football,2024-11-22,Estrella Oeste,Deportivo Costa,0,3,2.32,3.76,3.82
football,2024-11-24,Estrella Oeste,CF Montaña,0,1,2.23,3.88,4.00
football,2024-11-26,Estrella Oeste,Racing Valle,1,2,2.51,3.95,3.53
football,2024-11-28,Estrella Oeste,Sporting Este,1,1,2.13,3.79,4.57
football,2024-11-30,Real Norte,Atletico Sur,2,1,2.03,3.69,5.37
football,2024-12-02,Real Norte,Union Central,1,1,1.82,3.84,6.82
football,2024-12-04,Real Norte,Deportivo Costa,1,0,1.81,3.96,7.14
football,2024-12-06,Real Norte,CF Montaña,3,2,1.75,3.80,9.29
football,2024-12-08,Real Norte,Racing Valle,1,1,1.89,3.91,6.29
football,2024-12-10,Real Norte,Sporting Este,3,2,1.66,3.79,12.31
football,2024-12-12,Real Norte,Estrella Oeste,2,4,1.89,3.64,8.62
football,2024-12-14,Atletico Sur,Real Norte,2,7,2.52,3.67,3.46
football,2024-12-16,Atletico Sur,Union Central,0,1,2.12,3.65,4.75
football,2024-12-18,Atletico Sur,Deportivo Costa,3,2,2.13,3.83,5.05
football,2024-12-20,Atletico Sur,CF Montaña,0,0,2.01,3.74,6.05
football,2024-12-22,Atletico Sur,Racing Valle,4,0,2.14,3.65,4.66
football,2024-12-24,Atletico Sur,Sporting Este,3,2,1.86,3.77,6.76
football,2024-12-26,Atletico Sur,Estrella Oeste,0,1,1.98,3.68,5.58
football,2024-12-28,Union Central,Real Norte,2,1,2.85,3.91,2.86
football,2024-12-30,Union Central,Atletico Sur,2,3,2.69,3.95,3.30
football,2025-01-01,Union Central,Deportivo Costa,0,0,2.26,3.96,4.10
football,2025-01-03,Union Central,CF Montaña,1,2,2.21,3.70,4.65
football,2025-01-05,Union Central,Racing Valle,0,3,2.43,3.75,3.81
football,2025-01-07,Union Central,Sporting Este,1,0,1.98,3.70,5.52
football,2025-01-09,Union Central,Estrella Oeste,4,4,2.11,3.78,4.27
football,2025-01-11,Deportivo Costa,Real Norte,0,0,3.18,3.61,2.79
football,2025-01-13,Deportivo Costa,Atletico Sur,1,3,2.56,3.89,3.13
football,2025-01-15,Deportivo Costa,Union Central,1,1,2.47,3.62,3.71
football,2025-01-17,Deportivo Costa,CF Montaña,1,1,2.28,3.76,4.25
football,2025-01-19,Deportivo Costa,Racing Valle,3,2,2.51,3.75,3.52
football,2025-01-21,Deportivo Costa,Sporting Este,2,0,2.04,3.83,5.09
football,2025-01-23,Deportivo Costa,Estrella Oeste,0,0,2.24,3.87,4.37
football,2025-01-25,CF Montaña,Real Norte,2,1,3.51,3.74,2.62
football,2025-01-27,CF Montaña,Atletico Sur,1,2,3.00,3.85,2.87
football,2025-01-29,CF Montaña,Union Central,3,4,2.64,3.92,3.25
football,2025-01-31,CF Montaña,Deportivo Costa,1,0,2.43,3.95,3.53
football,2025-02-02,CF Montaña,Racing Valle,3,4,2.78,3.63,3.27
football,2025-02-04,CF Montaña,Sporting Este,2,0,2.25,3.85,4.29
football,2025-02-06,CF Montaña,Estrella Oeste,2,1,2.44,3.70,3.69
football,2025-02-08,Racing Valle,Real Norte,2,1,2.96,3.96,3.16
football,2025-02-10,Racing Valle,Atletico Sur,2,1,2.36,3.70,3.64
football,2025-02-12,Racing Valle,Union Central,2,1,2.35,3.66,4.28
football,2025-02-14,Racing Valle,Deportivo Costa,0,1,2.14,3.76,4.68
football,2025-02-16,Racing Valle,CF Montaña,2,1,1.98,3.80,5.12
football,2025-02-18,Racing Valle,Sporting Este,0,1,1.99,3.79,5.92
football,2025-02-20,Racing Valle,Estrella Oeste,0,2,2.21,3.91,4.67
football,2025-02-22,Sporting Este,Real Norte,4,3,4.02,3.66,2.30
football,2025-02-24,Sporting Este,Atletico Sur,1,0,3.34,3.62,2.69
football,2025-02-26,Sporting Este,Union Central,1,3,2.73,3.89,3.07
football,2025-02-28,Sporting Este,Deportivo Costa,1,0,2.62,3.61,3.19
football,2025-03-02,Sporting Este,CF Montaña,0,0,2.46,3.97,3.36
football,2025-03-04,Sporting Este,Racing Valle,1,2,2.98,3.87,3.09
football,2025-03-06,Sporting Este,Estrella Oeste,2,2,2.53,3.72,3.30
football,2025-03-08,Estrella Oeste,Real Norte,2,1,3.13,3.90,2.75
football,2025-03-10,Estrella Oeste,Atletico Sur,2,1,2.83,3.81,3.05
football,2025-03-12,Estrella Oeste,Union Central,0,3,2.42,3.79,3.46
football,2025-03-14,Estrella Oeste,Deportivo Costa,0,2,2.51,3.61,3.58
football,2025-03-16,Estrella Oeste,CF Montaña,3,2,2.28,3.68,4.21
football,2025-03-18,Estrella Oeste,Racing Valle,2,0,2.48,3.70,3.41
football,2025-03-20,Estrella Oeste,Sporting Este,1,1,2.22,3.97,4.56
football,2025-03-22,Real Norte,Atletico Sur,1,0,1.97,3.95,5.21
football,2025-03-24,Real Norte,Union Central,2,2,1.83,3.65,6.61
football,2025-03-26,Real Norte,Deportivo Costa,2,2,1.85,3.82,7.59
football,2025-03-28,Real Norte,CF Montaña,2,2,1.67,3.65,8.89
football,2025-03-30,Real Norte,Racing Valle,2,1,2.02,3.75,6.53
football,2025-04-01,Real Norte,Sporting Este,0,1,1.72,3.91,12.38
football,2025-04-03,Real Norte,Estrella Oeste,5,2,1.88,3.70,8.04
football,2025-04-05,Atletico Sur,Real Norte,2,2,2.53,3.68,3.30
football,2025-04-07,Atletico Sur,Union Central,3,2,2.04,3.70,4.68
football,2025-04-09,Atletico Sur,Deportivo Costa,1,2,1.99,3.82,5.23
football,2025-04-11,Atletico Sur,CF Montaña,1,0,1.87,3.62,5.94
football,2025-04-13,Atletico Sur,Racing Valle,1,0,2.10,3.87,4.64
football,2025-04-15,Atletico Sur,Sporting Este,2,0,1.91,3.89,6.83
football,2025-04-17,Atletico Sur,Estrella Oeste,4,1,1.99,3.84,5.55
